"","Player","Type_of_goal","Home","Away","Time_of_Evidence","Team","Goal_Time","Penalnty","owngoal"
"6","None",NA,"0","0","0","None",0,0,0
"1","ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ","","1","0","8'","ΓΚΥΖΙΑΚΟΣ",8,0,0
"4","ΔΗΜΟΣ ΠΑΝΑΓΙΩΤΗΣ","","1","1","14'","ΝΙΚΗ ΑΛΙΜΟΥ",14,0,0
"5","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","2","1","34'","ΓΚΥΖΙΑΚΟΣ",34,0,0
"2","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","3","1","65'","ΓΚΥΖΙΑΚΟΣ",65,0,0
"3","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","4","1","70'","ΓΚΥΖΙΑΚΟΣ",70,0,0
"21","None",NA,"0","0","0","None",0,0,0
"11","ΚΟΡΡΕΣ ΠΑΝΑΓΙΩΤΗΣ","","1","0","25'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",25,0,0
"51","None",NA,"0","0","0","None",0,0,0
"12","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","1","0","16'","ΙΑΣΩΝ",16,0,0
"22","ΠΙΠΙΝΗΣ ΣΩΤΗΡΙΟΣ","","2","0","24'","ΙΑΣΩΝ",24,0,0
"31","ΜΠΑΛΛΙΟΣ ΑΝΤΩΝΙΟΣ","","3","0","31'","ΑΟ ΓΛΥΦΑΔΑΣ",31,0,1
"41","ΜΠΑΪΡΑΚΤΑΡΗΣ ΒΑΣΙΛΕΙΟΣ","","4","0","48'","ΙΑΣΩΝ",48,0,0
"32","None",NA,"0","0","0","None",0,0,0
"13","ΜΠΕΛΑΣ ΓΕΩΡΓΙΟΣ","","0","1","55'","ΚΟΥΚΑΚΙ",55,0,0
"23","ΑΣΠΙΩΤΗΣ ΑΝΤΩΝΙΟΣ","","0","2","86'","ΚΟΥΚΑΚΙ",86,0,0
"42","None",NA,"0","0","0","None",0,0,0
"14","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","","1","0","34'","ΠΑΓΚΡΑΤΙ",34,0,0
"24","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","","2","0","47'","ΠΑΓΚΡΑΤΙ",47,0,0
"33","ΞΟΥΡΑΣ ΓΕΩΡΓΙΟΣ","","2","1","72'","ΠΛΑΤΩΝ",72,0,0
"34","None",NA,"0","0","0","None",0,0,0
"15","ΦΑΡΜΑΚΗΣ ΒΑΣΙΛΕΙΟΣ","","0","1","73'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",73,0,0
"25","ΚΟΡΡΕΣ ΠΑΝΑΓΙΩΤΗΣ","","0","2","91'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",91,0,0
"52","None",NA,"0","0","0","None",0,0,0
"43","ΜΙΧΑΣ ΑΝΑΣΤΑΣΙΟΣ","","0","1","21'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",21,0,0
